	Gewinn Gesamt	Kosten
211	-145614.33749413423	180625.61849413425
212	-145442.37349413423	180630.14049413425
213	-142772.73749413423	180634.66349413423
214	-142583.24449413424	180639.18549413423
215	-145571.55049413425	180643.70849413425
216	-145394.95749413423	180648.23049413424
217	-144303.11949413424	180652.75349413423
218	-144129.34549413424	180657.27549413423
219	-138757.70849413425	180661.79849413424
220	-138563.27349413425	180666.32049413424
221	-138540.82049413424	180670.84349413423
222	-138330.86249413423	180675.36649413424
223	-144140.57349413424	180679.88849413424
224	-143959.61149413424	180684.41149413423
225	-141870.33849413425	180688.93349413422
226	-141686.04649413424	180693.45649413424
227	-142554.02149413424	180697.97849413424
228	-142384.68149413425	180702.50149413425
229	-144285.65649413422	180707.02349413425
230	-144125.31749413424	180711.54649413424
231	-136261.23349413424	180716.06849413423
232	-136062.82549413425	180720.59149413425
233	-133972.75949413422	180725.11349413425
234	-133762.98849413425	180729.63649413423
235	-131114.78949413425	180734.15949413425
236	-130906.16649413423	180738.68149413425
237	-140502.05349413425	180743.20449413423
238	-140316.25949413422	180747.72649413423
239	-143284.56149413425	180752.24949413424
240	-143114.40049413423	180756.77149413424
241	-138060.91849413424	180761.29449413423
242	-137873.33049413422	180765.81649413423
243	-142933.43949413425	180770.33949413424
244	-142773.66349413423	180774.86149413424
245	-144194.51349413424	180779.38449413422
246	-144047.72449413425	180783.90749413424
247	-136527.14549413422	180788.42949413424
248	-136348.06349413423	180792.95249413422
249	-135093.42549413425	180797.47449413425
250	-134914.56249413424	180801.99749413424
251	-133249.09549413424	180806.51949413423
252	-133069.77949413424	180811.04249413425
253	-140984.70949413424	180815.56449413425
254	-140833.67849413425	180820.08749413423
255	-131742.10649413423	180824.60949413423
256	-131559.22249413424	180829.13249413425
257	-138096.15149413425	180833.65449413424
258	-137954.14849413425	180838.17749413423
259	-134768.77949413424	180842.70049413425
260	-134588.95649413424	180847.22249413424
261	-133687.65949413425	180851.74549413423
262	-133499.12349413423	180856.26749413423
263	-133753.06749413424	180860.79049413424
264	-133571.46049413423	180865.31249413424
265	-135878.79049413424	180869.83549413423
266	-135724.86049413425	180874.35749413425
267	-129682.48149413423	180878.88049413424
268	-129518.26749413424	180883.40249413424
269	-125156.60349413424	180887.92549413425
270	-124959.40249413424	180892.44849413424
271	-125444.43549413423	180896.97049413424
272	-125253.35149413423	180901.49349413425
273	-135309.55849413422	180906.01549413425
274	-135165.04049413424	180910.53849413423
275	-135064.39649413424	180915.06049413423
